,count,mean,std,min,25%,50%,75%,max,median,skewness,kurtosis
PnL_fwd_pts_01_mediana,2214.0,0.5193428184281843,4.91529561057712,-11.725,-2.45,-0.15,2.85,34.5,-0.15,1.3265111800501193,4.7456063389445795
PnL_fwd_pts_05_mediana,2214.0,1.3629403794037942,9.31933044921945,-59.425,-4.55,-0.1,5.5,48.6,-0.1,1.037401791519699,3.5477560651524875
PnL_fwd_pts_25_mediana,2214.0,6.58342366757001,20.24853167383433,-69.175,-7.79375,3.5875000000000004,17.875,155.25,3.5875000000000004,1.0919794988551277,3.550368454506283
PnL_fwd_pts_50_mediana,2214.0,15.755634598012646,30.72843576760178,-52.075,-6.35,13.425,34.23125,187.2,13.425,0.7916124009914979,1.6962958975869649
PnL_fwd_pts_90_mediana,2214.0,19.770082429990968,49.40248293506779,-110.9,-11.5625,18.2875,47.84375,264.25,18.2875,0.3566295021349951,0.7698070259712009
LABEL_GENERAL_SCORE,2214.0,0.017699864498644986,0.5278804602395679,-1.875,-0.3125,0.0,0.375,2.75,0.0,0.001496495539793962,0.4489740418440298
BQI_ABS,2214.0,39.44076412737128,188.96945744798623,0.47806266,0.9921145375,1.3201022,1.9857697250000002,1009.5,1.3201022,4.902388323694094,22.066780625182687
FF_ATM,2214.0,0.12449036630532971,0.11780414609599359,-0.130165,0.047264749999999994,0.104049,0.18463625,0.854554,0.104049,1.3228414717121062,4.012600237168091
delta_total,2214.0,0.07266725338753387,0.02588017182391316,0.000247,0.05478,0.082032,0.0936685,0.129747,0.082032,-0.8815155946030827,-0.2695662670847998
theta_total,2214.0,-0.12483614046973804,0.1681707935144865,-0.527969,-0.23096125,-0.145339,-0.03714,0.863759,-0.145339,0.7810219986383933,1.6072603518371409
FF_BAT,2214.0,0.9782954575429088,1.997695042791512,0.0914,0.41761875,0.5981155,0.9158275,42.13469,0.5981155,13.048749868850713,220.25347236164635
