feature,type,formula,spearman_IS,spearman_IS_ci,spearman_p_adj,lift_IS,spearman_OOS_mean,spearman_OOS_std,lift_OOS_mean,stable,n_valid
net_credit_diff,base,raw(net_credit_diff),-0.2799944905769655,"[-0.355, -0.205]",9.550721673377629e-10,-2.175,-0.25878766973073997,0.13948300703211017,-3.0599999999999996,False,568
SPX_Stoch_K,base,raw(SPX_Stoch_K),0.22564847850847697,"[0.137, 0.307]",1.596189999647627e-06,3.0375,0.25288331313214635,0.2351458642616355,2.2250000000000005,False,568
SPX_Williams_R,base,raw(SPX_Williams_R),0.22564847850847697,"[0.143, 0.302]",1.596189999647627e-06,3.0375,0.25288331313214635,0.2351458642616355,2.2250000000000005,False,568
SPX_BB_Pct,base,raw(SPX_BB_Pct),0.22130529805142593,"[0.140, 0.299]",1.7389565742697362e-06,2.7,0.24155758501653152,0.27497417401485286,3.31,False,568
SPX_ZScore20,base,raw(SPX_ZScore20),0.22130529805142593,"[0.133, 0.296]",1.7389565742697362e-06,2.7,0.24155758501653152,0.27497417401485286,3.31,False,568
SPX_Stoch_D,base,raw(SPX_Stoch_D),0.21216435975233253,"[0.142, 0.284]",4.8893852087376554e-06,3.0,0.206370175117306,0.23639296565797904,2.8449999999999998,False,568
SPX_ROC7,base,raw(SPX_ROC7),0.1869821304844713,"[0.103, 0.268]",7.38957691725519e-05,2.1500000000000004,0.15694072933322673,0.20701930719421496,2.5100000000000002,False,568
SPX_ZScore50,base,raw(SPX_ZScore50),0.18694136487755603,"[0.100, 0.265]",7.38957691725519e-05,3.075,0.19202259093171425,0.24212429456796877,2.825,False,568
SPX_RSI14,base,raw(SPX_RSI14),0.18662362234783283,"[0.100, 0.260]",7.38957691725519e-05,0.5625,0.19886806311663505,0.18205001207127725,1.2400000000000002,False,568
SPX_minus_SMA7,base,raw(SPX_minus_SMA7),0.17231109607929912,"[0.072, 0.248]",0.0003212929755394292,2.3,0.22196680761978627,0.17033251126532922,2.41,False,568
SPX_ATR14,base,raw(SPX_ATR14),-0.16246022632793536,"[-0.243, -0.079]",0.0008045650040520197,0.19999999999999996,-0.14442724488904904,0.15309060737458155,-4.025,False,568
SPX_minus_SMA20,base,raw(SPX_minus_SMA20),0.15640327572681595,"[0.072, 0.232]",0.0013368458944843118,1.5,0.1985854186561618,0.16772780375448237,3.3200000000000003,False,568
net_credit_mediana,base,raw(net_credit_mediana),0.144281690327453,"[0.058, 0.220]",0.003807162521876043,1.9000000000000001,0.17593584294399384,0.11257679996938684,1.24,False,568
SPX_ROC20,base,raw(SPX_ROC20),0.13439341702966134,"[0.058, 0.216]",0.00832928206340679,0.4999999999999998,0.14910083477470373,0.2571480002574239,2.5900000000000003,False,568
SPX_MACD_Histogram,base,raw(SPX_MACD_Histogram),0.125911616801462,"[0.049, 0.208]",0.015520318621725964,1.45,0.15369234029977735,0.15632562491625202,1.6600000000000001,False,568
SPX_HV20,base,raw(SPX_HV20),-0.12463796171890076,"[-0.217, -0.033]",0.016086437530059092,-0.95,,,,False,568
SPX_minus_SMA50,base,raw(SPX_minus_SMA50),0.12291179202785077,"[0.030, 0.208]",0.017321441374037776,0.0,,,,False,568
theta_total,base,raw(theta_total),0.1155884236947228,"[0.028, 0.197]",0.028434436275703287,0.30000000000000027,,,,False,568
SPX_minus_SMA100,base,raw(SPX_minus_SMA100),0.11472992188747758,"[0.025, 0.197]",0.028686302609577486,0.5999999999999999,,,,False,568
net_credit,base,raw(net_credit),0.11343241271071261,"[0.046, 0.198]",0.029946420504158005,1.5499999999999998,,,,False,568
net_credit_diff_mult_SPX_Stoch_K,derived,product: net_credit_diff_mult_SPX_Stoch_K,-0.3097362439463144,N/A,4.282642951167752e-14,-3.3,0.007799766527348514,0.09766391489560623,-0.07499999999999996,False,568
net_credit_diff_mult_SPX_BB_Pct,derived,product: net_credit_diff_mult_SPX_BB_Pct,-0.29396379016446655,N/A,8.735782481598878e-13,-3.4,0.005756176296068072,0.0961163609464213,0.06000000000000001,False,568
net_credit_diff_minus_SPX_ZScore20,derived,spread: net_credit_diff_minus_SPX_ZScore20,-0.2895761031716137,N/A,1.9568373927708676e-12,-3.15,0.010451006082796926,0.09178114237071688,0.4600000000000001,False,568
net_credit_diff_div_SPX_ZScore20,derived,ratio: net_credit_diff_div_SPX_ZScore20,-0.28362104307939096,N/A,5.718755332824736e-12,-2.2,-0.023317065162845298,0.04542308058702582,-0.93,False,568
net_credit_diff_minus_SPX_BB_Pct,derived,spread: net_credit_diff_minus_SPX_BB_Pct,-0.28362097242276685,N/A,5.718827240103242e-12,-2.4,0.01390179855775894,0.09196513463702304,0.040000000000000036,False,568
net_credit_diff_winsor,derived,"winsorize(net_credit_diff, 1-99%)",-0.2800032909213098,N/A,1.083635440304788e-11,-2.175,0.014921163450952842,0.0970976856935407,-0.019999999999999973,False,568
net_credit_diff_zscore_robust,derived,(x - median) / MAD for net_credit_diff,-0.2799944905769655,N/A,1.0853092810656397e-11,-2.175,0.014896871176256557,0.09708265783056341,-0.019999999999999973,False,568
net_credit_diff_rank,derived,rank(net_credit_diff),-0.2799944905769655,N/A,1.0853092810656397e-11,-2.175,0.014896871176256557,0.09708265783056341,-0.019999999999999973,False,568
net_credit_diff_div_SPX_Williams_R,derived,ratio: net_credit_diff_div_SPX_Williams_R,-0.2758169870593322,N/A,2.2442544783024038e-11,-2.6500000000000004,0.021265832725593712,0.09939298676190529,-0.06000000000000001,False,568
net_credit_diff_minus_SPX_Williams_R,derived,spread: net_credit_diff_minus_SPX_Williams_R,-0.2748867496999978,N/A,2.6339374552328806e-11,-4.7,-0.04510169518005122,0.061732543863050604,0.51,False,568
net_credit_diff_minus_SPX_Stoch_K,derived,spread: net_credit_diff_minus_SPX_Stoch_K,-0.2748867496999978,N/A,2.6339374552328806e-11,-4.7,-0.04510169518005122,0.061732543863050604,0.51,False,568
net_credit_diff_div_SPX_BB_Pct,derived,ratio: net_credit_diff_div_SPX_BB_Pct,-0.2659983584035356,N/A,1.1797228769861665e-10,-1.7000000000000002,0.0013161308638080919,0.07565849300133931,0.22000000000000003,False,568
net_credit_diff_div_SPX_Stoch_K,derived,ratio: net_credit_diff_div_SPX_Stoch_K,-0.2647795848283347,N/A,1.4428328257663762e-10,-2.15,-0.007921049265397597,0.06315622614660078,0.21000000000000002,False,568
net_credit_diff_mult_SPX_Williams_R,derived,product: net_credit_diff_mult_SPX_Williams_R,0.24573937685926586,N/A,2.938661608832103e-09,1.65,0.009892860784390403,0.059962808839216036,-0.09999999999999995,False,568
SPX_Williams_R_div_SPX_BB_Pct,derived,ratio: SPX_Williams_R_div_SPX_BB_Pct,0.22720998947062399,N/A,4.378225255598356e-08,2.9625,0.03744599462403706,0.06596949692647608,0.5249999999999997,False,568
SPX_Williams_R_div_SPX_ZScore20,derived,ratio: SPX_Williams_R_div_SPX_ZScore20,0.22626529506299436,N/A,4.9946567563641863e-08,3.05,,,,False,568
SPX_Stoch_K_zscore_robust,derived,(x - median) / MAD for SPX_Stoch_K,0.22564847850847697,N/A,5.441556816980547e-08,3.0375,,,,False,568
SPX_Stoch_K_winsor,derived,"winsorize(SPX_Stoch_K, 1-99%)",0.22564847850847697,N/A,5.441556816980547e-08,3.0375,,,,False,568
SPX_Stoch_K_log1p_abs,derived,log1p(abs(SPX_Stoch_K)),0.22564847850847697,N/A,5.441556816980547e-08,3.0375,,,,False,568
SPX_Williams_R_winsor,derived,"winsorize(SPX_Williams_R, 1-99%)",0.22564847850847697,N/A,5.441556816980547e-08,3.0375,,,,False,568
